30.85212,0.29205,-0.15380
30.32052,-0.38379,0.41132
30.42196,0.00840,-0.58334
30.08155,-0.43312,-0.10943
30.15977,-0.41667,0.31514
30.47309,0.38614,0.43832
30.06392,0.43767,-0.12447
30.21248,0.11679,0.50983
30.14931,-0.09165,-0.51409
30.64963,0.47662,-0.21129
30.66809,0.38141,-0.30937
30.94527,-0.06154,0.21669
30.25878,-0.50996,0.21241
30.31694,-0.43602,-0.32560
30.46754,-0.23216,-0.53552
30.20830,0.45219,0.27383
30.68143,-0.36782,0.30566
30.62385,0.49011,-0.17748
30.28516,0.53786,0.14772
30.56213,-0.49790,0.27876
29.85837,-0.12972,-0.09594
30.10114,0.07261,0.47215
30.27694,0.05699,0.58042
30.33009,0.46977,0.27787
30.90328,-0.32863,0.05903
29.98271,0.32737,-0.26055
30.88348,-0.32210,0.02114
29.87428,-0.27983,0.00478
30.25354,0.04746,0.55939
30.24553,0.52043,0.25601
30.91766,0.17088,-0.23668
30.59325,0.11388,-0.52140
30.80516,0.31938,0.26352
30.83236,0.28384,0.28789
30.77056,0.42720,-0.08461
30.39769,0.45649,0.39487
30.68884,-0.25550,-0.41134
30.34808,0.44762,0.30352
30.15367,0.17430,-0.50134
30.97748,0.08950,0.05045
30.27499,-0.26432,-0.52978
29.98217,0.39166,-0.08760
30.61694,0.26161,0.50568
30.30070,0.35392,0.46900
30.23602,-0.31313,0.45023
30.00471,0.05469,0.42657
30.79075,0.35214,0.23335
30.84413,0.24751,0.28216
30.22915,-0.40889,0.35244
30.85421,0.25011,0.26430
29.81735,0.13652,0.01871
30.29514,0.49855,-0.28843
30.06361,0.45020,0.00726
30.74937,0.05460,0.48642
30.80910,0.02018,0.37197
30.15865,0.49063,0.07162
30.65785,-0.11643,0.53692
29.83968,-0.12401,-0.14725
30.38659,-0.31447,-0.51552
30.51317,-0.35455,-0.45231
30.31353,-0.07802,-0.58766
30.25682,-0.48427,-0.32072
29.93939,-0.24465,-0.24222
30.93716,-0.14973,-0.01007
29.89236,-0.01129,0.31890
30.59173,-0.51128,0.01611
30.76029,0.33739,0.24826
30.94440,0.02660,-0.20440
29.92389,-0.14024,0.28033
30.95245,0.09770,0.00965
30.15301,0.01221,-0.53263
30.45455,-0.53715,0.22224
30.53667,0.55147,-0.18661
30.12847,-0.03483,0.50550
30.82388,0.05005,-0.35966
30.66824,-0.25432,0.41964
29.89244,-0.06450,0.23324
30.79376,0.37578,0.09934
30.80954,-0.13874,0.36442
30.48981,-0.15468,0.56631
30.98549,-0.03912,0.06925
30.73512,-0.11948,0.48824
30.28772,-0.01171,0.56273
30.79426,-0.23699,0.32954
30.24368,0.37653,-0.41019
30.45340,0.30102,0.51135
30.52148,-0.33020,0.45533
30.66370,-0.43769,0.17570
30.36614,-0.19264,0.56536
30.15446,0.47238,0.13490
30.05481,-0.24459,-0.39508
30.30393,-0.43034,-0.32080
30.51755,-0.44886,0.33617
30.37672,-0.40873,-0.36717
30.26776,0.13146,0.53866
30.61173,0.53779,0.04190
30.78582,0.04414,0.43892
30.28649,0.53899,-0.10291
30.81342,-0.12764,-0.37307
30.03196,-0.45681,0.11065
30.34031,0.48040,0.29547
29.92230,-0.21415,0.25156
30.35674,-0.56564,-0.15286
30.86981,0.14892,0.32577
29.82479,-0.01563,-0.08069
30.26743,-0.18317,0.52829
30.40858,0.56040,-0.05572
30.69644,0.48486,-0.10986
29.87778,0.03765,-0.27296
30.78568,0.16377,-0.39341
29.97559,-0.18832,-0.31962
30.83800,-0.34784,-0.22160
30.20779,-0.28464,-0.46490
30.91206,-0.26723,-0.00360
30.31937,0.57014,0.13568
30.15264,-0.43712,-0.30627
30.04768,-0.10375,0.48613
30.24151,0.49519,-0.29249
29.84296,0.03272,0.12652
30.66131,0.44416,0.19707
30.82695,0.35026,-0.17399
30.57314,-0.47233,0.27758
30.28364,-0.53755,-0.00894
30.22949,-0.28270,-0.50200
30.39419,-0.04693,0.58147
29.90193,0.12708,-0.25953
30.64124,0.14348,0.49478
30.18624,-0.48126,-0.27477
30.00920,-0.40306,0.10474
30.69887,0.47056,0.12078
30.20877,-0.39712,0.37245
30.12899,0.39881,0.32150
29.84907,0.01360,0.07448
30.90742,0.08982,0.20990
30.24663,0.44122,0.37882
